0.2 0
0.4 0
0.6 0
0.8 0
1 0
1.2 0
1.4 0
1.6 0
1.8 0
2 0
2.2 0
2.4 0
2.6 0
2.8 0
3 0
3.2 0
3.4 0
3.6 0
3.8 0
4 0
4.2 0
4.4 0
4.6 0
4.8 0
5 0
5.2 16.681
5.4 51.433
5.6 85.7216
5.8 113.06
6 166.462
6.2 219.343
6.4 280.854
6.6 295.566
6.8 317.749
7 302.4
7.2 309.872
7.4 287.283
7.6 254.327
7.8 256.817
8 278.537
8.2 295.855
8.4 283.866
8.6 283.692
8.8 279.001
9 251.373
9.2 253.921
9.4 273.151
9.6 307.439
9.8 333.793
10 297.361
10.2 285.256
10.4 303.79
10.6 292.264
10.8 294.987
11 286.183
11.2 282.244
11.4 187.255
11.6 17.7814
11.8 31.4506
12 48.7686
12.2 63.8858
12.4 422.37
12.6 124.586
12.8 207.933
13 280.101
13.2 306.223
13.4 298.751
13.6 290.643
13.8 273.73
14 311.088
14.2 314.448
14.4 288.963
14.6 359.336
14.8 264.405
15 229.421
15.2 233.591
15.4 242.974
15.6 261.103
15.8 249.114
16 265.332
16.2 278.364
16.4 290.005
16.6 317.112
16.8 294.755
17 266.258
17.2 129.683
17.4 180.363
17.6 248.882
17.8 266.606
18 410.27
18.2 0.46336
18.4 25.8323
18.6 46.7414
18.8 64.8125
19 414.657
19.2 131.305
19.4 204.226
19.6 291.975
19.8 324.7
20 305.76
20.2 268.575
20.4 243.032
20.6 0
20.8 0
21 62.0902
21.2 1.33216
21.4 349.67
21.6 37.8797
21.8 71.0099
22 116.014
22.2 158.701
22.4 228.668
22.6 285.372
22.8 329.275
23 39.849
23.2 0
23.4 0
23.6 0
23.8 0
24 523.213
24.2 22.8784
24.4 77.3811
24.6 103.735
24.8 152.793
25 195.422
25.2 251.431
25.4 284.329
25.6 335.125
25.8 310.451
26 283.518
26.2 260.698
26.4 96.263
26.6 0
26.8 0
27 61.8586
27.2 10.831
27.4 355.462
27.6 49.5795
27.8 96.2051
28 139.993
28.2 189.051
28.4 251.025
28.6 293.133
28.8 308.829
29 302.69
29.2 291.685
29.4 278.306
29.6 296.261
29.8 270.371
30 295.044
30.2 273.498
30.4 271.992
30.6 294.002
30.8 278.248
31 290.469
31.2 270.428
31.4 293.075
31.6 278.306
31.8 284.387
32 282.186
32.2 279.58
32.4 285.372
32.6 279.927
32.8 282.592
33 285.604
33.2 276.163
33.4 281.781
33.6 284.387
33.8 281.839
34 287.225
34.2 275.352
34.4 288.615
34.6 272.919
34.8 293.596
35 260.235
35.2 300.779
35.4 283.113
35.6 276.973
35.8 292.38
36 266.953
36.2 295.913
36.4 272.456
36.6 288.152
36.8 282.534
37 276.742
37.2 290.932
37.4 270.718
37.6 277.668
37.8 289.948
38 289.021
38.2 276.452
38.4 280.391
38.6 288.5
38.8 278.479
39 285.719
39.2 278.537
39.4 283.982
39.6 282.708
39.8 279.696
40 283.692
40.2 282.708
40.4 280.449
40.6 276.626
40.8 285.719
41 281.955
41.2 282.36
41.4 283.75
41.6 287.167
41.8 277.147
42 288.094
42.2 270.95
42.4 295.624
42.6 273.324
42.8 288.5
43 279.174
43.2 273.324
43.4 295.971
43.6 270.197
43.8 295.392
44 270.892
44.2 290.411
44.4 263.015
44.6 296.782
44.8 287.109
45 272.687
45.2 294.349
45.4 273.962
45.6 288.5
45.8 276.452
46 281.375
46.2 286.704
46.4 278.421
46.6 286.356
46.8 278.711
47 283.866
47.2 282.708
47.4 279.232
47.6 284.793
47.8 267.532
48 294.465
48.2 287.341
48.4 276.684
48.6 287.457
48.8 274.309
49 290.295
49.2 280.449
49.4 279.58
49.6 288.268
49.8 270.081
50 282.418
50.2 285.314
50.4 279.464
50.6 287.457
50.8 275.12
51 294.929
51.2 272.05
51.4 294.697
51.6 270.718
51.8 291.917
52 276.742
52.2 284.156
52.4 282.534
52.6 275.468
52.8 292.264
53 275.815
53.2 286.936
53.4 275.41
53.6 285.14
53.8 285.024
54 278.769
54.2 267.822
54.4 297.188
54.6 283.808
54.8 283.576
55 277.321
55.2 287.109
55.4 280.507
55.6 282.07
55.8 285.43
56 275.41
56.2 288.615
56.4 272.977
56.6 292.38
56.8 279.174
57 281.144
57.2 269.733
57.4 289.948
57.6 279.985
57.8 283.171
58 281.144
58.2 286.067
58.4 286.704
58.6 284.156
58.8 274.367
59 292.554
59.2 270.544
59.4 63.497
59.6 23.5155
59.8 40.6598
